diff_type,partiful_id,old_id,current_id,old_name,current_name,old_date,current_date,old_time,current_time,old_location,current_location,old_company,current_company,event_url,source_url,current_weekday,current_time_bucket,current_hosts
changed:time,048KYO6HrSDLWMwlMUTm,5177,5177,Agents in Production: The Memory Problem,Agents in Production: The Memory Problem,2026-06-03,2026-06-03,18:30:00,17:00:00,Midtown,Midtown,SurrealDB,SurrealDB,https://partiful.com/e/048KYO6HrSDLWMwlMUTm,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,SurrealDB; Alumni Ventures
added,04HsBAOTcvaqnnCycyQD,,4236,,Vault Summit: New York City,,2026-06-05,,09:00:00,,SoHo,,Vault Summit,https://partiful.com/e/04HsBAOTcvaqnnCycyQD,https://www.tech-week.com/calendar/nyc,Friday,Morning,Vault Summit
removed,05ZXMuLsZr76jJcu6T5N,5872,,Liquidity for RWA Private Credit Asset Managers,,2026-06-03,,16:00:00,,SoHo,,Protofire,,https://partiful.com/e/05ZXMuLsZr76jJcu6T5N,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,Protofire
changed:event_url,0686jCvpOQUbYoBTLKXh,4314,4314,CREWASIS Presents: Human in the Loop: Marketing in the Age of Agentic AI for Enterprise,CREWASIS Presents: Human in the Loop: Marketing in the Age of Agentic AI for Enterprise,2026-06-04,2026-06-04,17:00:00,17:00:00,Lower East Side,Lower East Side,CREWASIS,CREWASIS,https://partiful.com/e/0686jCvpOQUbYoBTLKXh,https://www.tech-week.com/calendar/nyc,Thursday,Evening,CREWASIS
removed,07FeLmQ6hrIDF1HKSM3U,4813,,Recharge & Connect,,2026-06-03,,18:00:00,,Flatiron,,DealMaker,,https://partiful.com/e/07FeLmQ6hrIDF1HKSM3U,https://www.tech-week.com/calendar/nyc,Wednesday,Evening,DealMaker
changed:event_url,088mqg3qFDdHttfFXxbd,6239,6239,NYTW Rooftop Party,NYTW Rooftop Party,2026-06-07,2026-06-07,15:00:00,15:00:00,Lower East Side,Lower East Side,Post Up NYC LLC,Post Up NYC LLC,https://partiful.com/e/088mqg3qFDdHttfFXxbd,https://www.tech-week.com/calendar/nyc,Sunday,Afternoon,Post Up NYC LLC
changed:name,0L84J8nQjMRq0eyBW4Do,32,32,The South Asian Tech Week Mixer Ed. IV,Mango x SVB: The South Asian Tech Week Mixer Ed. IV,2026-06-04,2026-06-04,18:00:00,18:00:00,Lower East Side,Lower East Side,Mango NYC,Mango NYC,https://partiful.com/e/0L84J8nQjMRq0eyBW4Do,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Mango NYC
changed:event_url,0LzOTdMr0JBCzNfr1jKz,4148,4148,Product design leader dinner,Product design leader dinner,2026-06-04,2026-06-04,18:30:00,18:30:00,Flatiron,Flatiron,Koi Studios,Koi Studios,https://partiful.com/e/0LzOTdMr0JBCzNfr1jKz,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Koi Studios; Asian women in design leadership
added,0MYoOgujlqnPlEFKqwuv,,5960,,BUILT by Triple Eight Creative — Live Brand Build + Char Pro Public Debut,,2026-06-06,,14:00:00,,SoHo,,Triple Eight Creative,https://partiful.com/e/0MYoOgujlqnPlEFKqwuv,https://www.tech-week.com/calendar/nyc,Saturday,Afternoon,Triple Eight Creative
changed:event_url,0N6FdZhl3OG9e30QWIsw,5095,5095,Flirt Tank,Flirt Tank,2026-06-01,2026-06-01,19:00:00,19:00:00,East Village,East Village,Live Different Comedy,Live Different Comedy,https://partiful.com/e/0N6FdZhl3OG9e30QWIsw,https://www.tech-week.com/calendar/nyc,Monday,Evening,Live Different Comedy
changed:event_url,0YT8cdfJmiZ7RfwO6QNv,5473,5473,Sidewalk Games: Recess,Sidewalk Games: Recess,2026-06-06,2026-06-06,14:30:00,14:30:00,Financial District,Financial District,Urban Origins NYC,Urban Origins NYC,https://partiful.com/e/0YT8cdfJmiZ7RfwO6QNv,https://www.tech-week.com/calendar/nyc,Saturday,Afternoon,Urban Origins NYC
added,0aiMw5kuhE8yIzGTMpy6,,6645,,Self Care with SemperVirens VC,,2026-06-04,,08:30:00,,Midtown,,SemperVirens VC,https://partiful.com/e/0aiMw5kuhE8yIzGTMpy6,https://www.tech-week.com/calendar/nyc,Thursday,Morning,SemperVirens
added,0gu1lOnNUW1XdAVgqlKt,,5022,,"[BIOADAPTING Happy Hour: AI, Holograms & the Future of Live Performance]",,2026-06-04,,17:00:00,,Nomad,,Bioadapting,https://partiful.com/e/0gu1lOnNUW1XdAVgqlKt,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Bioadapting; Transforma Theatre
changed:event_url,0qPzNNm0AgeHmfFyC9h2,4538,4538,How to Scale Business with People & AI,How to Scale Business with People & AI,2026-06-03,2026-06-03,15:00:00,15:00:00,Tribeca,Tribeca,42DM,42DM,https://partiful.com/e/0qPzNNm0AgeHmfFyC9h2,https://www.tech-week.com/calendar/nyc,Wednesday,Afternoon,42DM; Dextego Inc; Alchemist
changed:name,0qepwkdEYxO5OYEvQ52k,5486,5486,Bridge the Tech Gap,"Bridge the Tech Gap, a networking run for charity",2026-06-03,2026-06-03,07:00:00,07:00:00,Financial District,Financial District,RemoFirst,RemoFirst,https://partiful.com/e/0qepwkdEYxO5OYEvQ52k,https://www.tech-week.com/calendar/nyc,Wednesday,Morning,Remofirst
changed:event_url,0vbjAvadzQtRjreGKQ0G,5931,5931,The Business of Video: What’s Working Now (and What’s Next),The Business of Video: What’s Working Now (and What’s Next),2026-06-02,2026-06-02,09:00:00,09:00:00,Midtown,Midtown,Wistia,Wistia,https://partiful.com/e/0vbjAvadzQtRjreGKQ0G,https://www.tech-week.com/calendar/nyc,Tuesday,Morning,Wistia
added,0vnZ8PxenDVeYECu3FXi,,6429,,Giga Energy's Power Hour @ New York TechWeek,,2026-06-01,,16:00:00,,Flatiron,,Giga Energy,https://partiful.com/e/0vnZ8PxenDVeYECu3FXi,https://www.tech-week.com/calendar/nyc,Monday,Afternoon,Giga Energy
changed:name,0xOTioP4rEuXZH1VInVN,4860,4860,Leading Through the AI Marketing Shift,Leading Through the AI Shift of GTM Teams,2026-06-04,2026-06-04,18:00:00,18:00:00,Midtown,Midtown,Emergences Labs,Emergences Labs,https://partiful.com/e/0xOTioP4rEuXZH1VInVN,https://www.tech-week.com/calendar/nyc,Thursday,Evening,Emergences Labs
changed:event_url,1FFSWMPK1VyrAatMRp0s,5068,5068,Billion Oyster Project Field Trip,Billion Oyster Project Field Trip,2026-06-05,2026-06-05,17:00:00,17:00:00,Financial District,Financial District,Ambrook,Ambrook,https://partiful.com/e/1FFSWMPK1VyrAatMRp0s,https://www.tech-week.com/calendar/nyc,Friday,Evening,Ambrook; Casa de Tilda
removed,1IiuVAZr79betXpNkaiS,5788,,"Art, Taste & Discovery in the Age of AI",,2026-06-04,,14:00:00,,Chelsea,,hili,,https://partiful.com/e/1IiuVAZr79betXpNkaiS,https://www.tech-week.com/calendar/nyc,Thursday,Afternoon,hili; Soal
added,1K4RUKGNdOY7K8EvJB1B,,6357,,Trust Issues - A Traitors style game for NYTW,,2026-06-01,,18:00:00,,West Village,,Axis Labs,https://partiful.com/e/1K4RUKGNdOY7K8EvJB1B,https://www.tech-week.com/calendar/nyc,Monday,Evening,Axis Labs
removed,1NT7YZjcLX6zovTH5qfs,5212,,"Build, Launch, Go Viral",,2026-06-01,,13:30:00,,SoHo,,SocialQ AI,,https://partiful.com/e/1NT7YZjcLX6zovTH5qfs,https://www.tech-week.com/calendar/nyc,Monday,Afternoon,SocialQ AI
