id,name,date,time,weekday,start_datetime_local,city,location,locations,time_bucket,company,primary_host,cohosts,all_hosts,host_keys,invite_only,sponsor_tier,event_url,partiful_id,source_url
5363,4am IRR - for the inner IRR nerd in you!,2026-06-01,04:00:00,Monday,2026-06-01 04:00,New York City,Virtual (NYC),Virtual (NYC),Evening,VCAR,VCAR,,VCAR,vcar,False,,https://partiful.com/e/iyeVYNaUJxZqidnHixwa,iyeVYNaUJxZqidnHixwa,https://www.tech-week.com/calendar/nyc
4704,Founders Morning Run,2026-06-01,06:30:00,Monday,2026-06-01 06:30,New York City,Central Park,Central Park,Morning,Leverage.work,Leverage.Work,,Leverage.Work,leverage,False,,https://partiful.com/e/NG7L81DpetKxjQlMEFbf,NG7L81DpetKxjQlMEFbf,https://www.tech-week.com/calendar/nyc
6273,Founders House - Launch,2026-06-01,06:30:00,Monday,2026-06-01 06:30,New York City,Midtown,Midtown,Morning,Founder,Founder,,Founder,founder,False,,https://partiful.com/e/Ol2qfN9cV1M4bsImhMJy,Ol2qfN9cV1M4bsImhMJy,https://www.tech-week.com/calendar/nyc
4367,Proof of Concept Fest: A Startup-Only Hackathon,2026-06-01,07:00:00,Monday,2026-06-01 07:00,New York City,Midtown,Midtown,Morning,GoTogether AI,GoTogether AI,Valiron,GoTogether AI; Valiron,gotogether-ai; valiron,False,,https://partiful.com/e/uaMJVd3xreNGjfWDdiUF,uaMJVd3xreNGjfWDdiUF,https://www.tech-week.com/calendar/nyc
4518,Central Park Run 1,2026-06-01,07:00:00,Monday,2026-06-01 07:00,New York City,Central Park,Central Park,Morning,off labs,off labs,,off labs,off-labs,False,,https://partiful.com/e/Wgd27MHUJPFotcMBodca,Wgd27MHUJPFotcMBodca,https://www.tech-week.com/calendar/nyc
5279,Roast • NY Tech Week Kickoff Morning Mixer,2026-06-01,07:00:00,Monday,2026-06-01 07:00,New York City,Chelsea,Chelsea,Morning,Daap,Daap,,Daap,daap,False,,https://partiful.com/e/QsmJ6VLHB6BH422rNU5M,QsmJ6VLHB6BH422rNU5M,https://www.tech-week.com/calendar/nyc
5502,Sweat Equity: Founder + Investor HIIT Workout & Coffee,2026-06-01,07:00:00,Monday,2026-06-01 07:00,New York City,Greenwich Village,Greenwich Village,Morning,Build Momentum,Build Momentum,Founders and Fractioals,Build Momentum; Founders and Fractioals,build-momentum; founders-and-fractioals,False,,https://partiful.com/e/TbbdKjbVcYRMaHyA5PTp,TbbdKjbVcYRMaHyA5PTp,https://www.tech-week.com/calendar/nyc
5974,Central Park Morning Run,2026-06-01,07:00:00,Monday,2026-06-01 07:00,New York City,Central Park,Central Park,Morning,off labs,off labs,,off labs,off-labs,True,,,,https://www.tech-week.com/calendar/nyc
6,Agents Meet at New York 2026: Meet Your Next Partner,2026-06-01,08:00:00,Monday,2026-06-01 08:00,New York City,Brooklyn,Brooklyn,Morning,Walnut AI,Walnut AI,,Walnut AI,walnut-ai,False,,https://partiful.com/e/xEcp6n0qYyUuFZdbVauV,xEcp6n0qYyUuFZdbVauV,https://www.tech-week.com/calendar/nyc
4260,How Do You Build a Borderless Tech Career in the AI Era? Hosted by Darshana and Get on Board,2026-06-01,08:00:00,Monday,2026-06-01 08:00,New York City,Virtual (NYC),Virtual (NYC),Morning,darshana.ai,darshana.ai,Get on Board,darshana.ai; Get on Board,darshana-ai; get-on-board,False,,https://partiful.com/e/t00vYqgLgEg6ACA3C4R1,t00vYqgLgEg6ACA3C4R1,https://www.tech-week.com/calendar/nyc
